id,tweet,processed_tweet,emotion
10,"""\""ANÁLISIS | Cómo será el próximo año de la pandemia en Estados Unidos: https://t.co/Js4q4xeatF\""""",análisis cómo ser próximo año pandemia unidos,not-relevant
11,preocupaciones coronavirus después de triunfo contactos con auto ahora en cuarentena congresistas republicanos,preocupación coronavirus después triunfo contacto auto ahora cuarentena congresista republicano,fear
12,"Por favor, renunciar a los cargos de televisión por cable por 3 meses debido a bloquear para covid 19",favor renunciar cargo televisión cable mes debido bloquear covid,sad
13,"""\""Imperdibles reflexiones...\\nHarari: \\\""El coronavirus puede originar el peor sistema totalitario que haya existido\\\"" https://t.co/n4Di16nTR3\""""",imperdibl reflexión coronavirus poder originar peor sistema totalitario haber existir,sad
14,"""\""Se nos están acabando los recuerdos de Instagram sin mascarilla\""""",acabar recuerdo mascarilla,sad
15,"""\""“Seguimos sin tener a nadie en el IMAS que responsablemente responda” denuncian las residencias de mayores de la región. Carmelo Gómez advierte de que la vida de los ancianos peligra por el virus en las residencias de mayores de la región. https://t.co/RZZLRJ7HRt https://t.co/IQGqL2GqTI\""""",tener nadie denunciar residencia mayor región advertir vida anciano peligrar virus residencia mayor región,sad
16,"""\""Las mascarillas son una de las principales medidas de prevención frente a la #COVID19, pero no te olvides del resto: mantén la distancia de seguridad, lávate las manos con mucha frecuencia y limpia con regularidad las superficies más expuestas. ¡No te relajes! \\n#coronavirus https://t.co/kGF4HuFeHw\""""",mascarilla ser principal medida prevención frente covid no olvidar resto manténir distancia seguridad lavar mano mucho frecuencia limpiar regularidad superficie expuesto no relajar coronavirus,not-relevant
17,este hombre está a punto de coronavirus por golpeo en la sumisión estancia rey fuerte,hombre punto coronavirus golpeo sumisión estancia rey fuerte,fear
18,"""\""Si ya he pasado el coronavirus, ¿para qué me vacuno? https://t.co/oZo4ZjSruk a través de @Conversation_E\""""",si haber pasar coronavirus vacunir través,angry
19,tanto la terapia necesaria ...,terapia necesario,happy
20,"""\""Covid- 19: Se reportaron 3 lujanenses fallecidos por Coronavirus  https://t.co/PhYlhQMGAT\""""",covid reportar fallecido coronavirus,sad
21,"""Smriti Irani perdido"" carteles vienen en Amethi en el pasado 1 año visitó Amethi sólo para unas pocas horas no tiene nada hecho por el pueblo durante la crisis covid19 y en su lugar se hace referencia a los trabajadores que vuelven a Amethi de diferentes estados como ""coronavirus"" / afj4bssibe",perdido cartel venir pasado año visitar sólo poco hora no tener hecho pueblo crisis covid lugar hacer referencia trabajador volver diferente coronavirus,sad
22,podemos perdonar País China provocó un mamut tales crisis internacional debe estar en la casa del perro global nos rallies en China para el 97% de todos los antibióticos después de la crisis a superar las relaciones internacionales pueden cambiar,poder perdonar país chino provocar mamut tal crisis internacional deber casa perro global china antibiótico después crisis superar relación internacional poder cambiar,fear
23,tienda de alimentación luchan por mantener aperitivos dulces y salados en stock ya que los consumidores buscan comodidad en galletas y patatas fritas en medio de crecientes temores de coronavirus,tienda alimentación luchar mantener aperitivo dulce salado consumidor buscar comodidad galleta patata frita medio creciente temor coronavirus,fear
24,"""\""Ayudemos a salvar a Noval del COVID https://t.co/X6kL0PEaOX\""""",ayudar salvar noval covid,not-relevant
25,"""\""Que asco de mujer. Siempre con su monotema, que ya la ha hecho famosa. https://t.co/hzOwC7O0qc\""""",asco mujer siempre haber hacer famoso,angry
26,"la familia de un sospechoso de 71 años covid 19 paciente que fue declarado muerto en Gujarat y fue incinerado más tarde fue erróneamente dijo que era ""estable"" que recibió una llamada diciendo que los resultados son negativos por lo que el paciente tiene que ... ...",familia sospechoso año covid paciente ser declarar muerto ser incinerar tarde ser erróneamente decir ser estable recibir llamada decir resultado ser negativo paciente tener,sad
27,salud y servicios humanos afectados con ataque cibernético dirigido a la desaceleración informe de respuesta coronavirus,salud servicio humano afectado ataque cibernético dirigido desaceleración informe respuesta coronavirus,fear
28,"""\""Esta mujerzuela debiera sacarse la mascarilla, por esconder muchas cosas de los gobiernos por los que transitó como Ministra y tuvo la desfachatez de decir que iba a ser la última en vacunarse en contra de Covid-19\\nAHORA, PERÚ. https://t.co/olQxhGE6tG\""""",mujerzuela deber sacar mascarilla esconder mucho cosa gobierno transitar ministra tener desfachatez decir ir ser último vacunar covid,angry
29,no estamos excepcional para covid y el país está en camino de la derecha permite progresar FM es sólo un candidato adecuado y ella es lady aventurero y sencilla inocentes que no necesitamos manipuladores para que Postion ...,no excepcional covid país camino derecha permitir progresar ser sólo candidato adecuado ser lady aventurero sencillo inocente no necesitar manipulador,happy
30,"""\""Vamos! Ya queda menos 💪🏾 https://t.co/Smp7B9i95l\""""",vamos quedar menos,happy
31,red_heart de noticias Saptak un video musical de bloqueo de la liberación y el equipo pronto,red noticia video musical bloqueo liberación equipo pronto,happy
32,"sólo viendo y psico película y en la película cuando se le pregunta quién es su favorito jugador de bolos, dijo que por eso está embajador mundo pic Twitter com / l1xy1sstwo",sólo ver película película preguntar quién ser favorito jugador bolo decir embajador mundo,happy
33,ataques racistas contra coronavirus asiáticos en medio covid 19 amenaza |,ataque racista coronavirus asiático medio covid amenaza,fear
34,"oh Señor, necesitamos su ayuda todavía estamos luchando contra virus de la corona otro brote en la República Democrática del Congo 2020 ya está recibiendo miedo",oh señor necesitar ayuda todavía luchar virus corona brote república democrática congo recibir miedo,fear
35,Elizabeth Warren censores palabra 'chino' de pío coronavirus,censor palabra chino pío coronavirus,angry
36,"Espero sinceramente que es una broma de mal gusto que podría ser potencialmente responsable de infectar a miles de personas muchos de los cuales podrían infectar a otros, ya sea que acaban de morir a causa de coronavirus o morir ellos que podría ser un asesino de masas",esperar sinceramente ser broma mal gusto poder ser potencialmente responsable infectar mil persona mucho poder infectar acabar morir causa coronavirus morir poder ser asesino masa,angry
37,recibimos nuestro primer evento nano hemos jugado el anfitrión de los invitados y los organizadores de nuestro equipo en los banquetes safina está trabajando duro para asegurar que estamos preparados para alojar su próximo evento de manera segura y con estilo / uh6amgw5qx - en el centro de Bangalore,recibir primero evento haber jugar anfitrión invitado organizador equipo banquete trabajar duro asegurar preparado alojar próximo evento manera seguro estilo uh centro,happy
38,"""\""Biden marcará un año de cierre por covid-19 en un discurso en horario estelar https://t.co/TyHZi9FozP via @cnnee\""""",marcar año cierre covid discurso horario estelar,not-relevant
39,coronavirus esta es una guerra pero es diferente a cualquier hemos visto el australiano,coronavirus ser guerra ser diferente cualquiera haber ver australiano,fear
40,Los logros de Donny dirtbag tan alejados protecciones que las personas beneficiadas que no son ricos en peligro la vida de los estadounidenses y todavía está mintiendo acerca de los números de coronavirus y el caos es un mentiroso que es la corrupción que sólo se preocupa por su propio ser pútrido pic Twitter com / 4pb57g3gev,logro alejado protección persona beneficiado no ser rico peligro vida estadounidense todavía mentir acerca número coronavirus caos ser mentiroso ser corrupción sólo preocupar propio ser pútrido,angry
41,las mismas personas que piensan que las vacunas causan autismo ahora están diciendo que la vitamina C cura coronavirus hay una lección aquí no escuchar a las personas que piensan que las vacunas causan autismo porque son idiotas pic Twitter com / hqf5owvmik,mismo persona pensar vacuna causar autismo ahora decir vitamina curar coronavirus haber lección aquí no escuchar persona pensar vacuna causar autismo ser idiota,angry
42,govt informó sobre ✓there están 1637 casos confirmados ✓386 nuevos casos reportados ✓38 muerte ✓ 3 nueva muerte en las últimas 24 horas ✓132 paciente se recuperó ✓no de casos aumentó debido a casos relacionados movimiento / we9ftbil6b,informar caso confirmado nuevo caso reportado muerte nuevo muerte último hora paciente recuperar caso aumentar debido caso relacionado movimiento,sad
43,"""\""Coronavirus en Luján: Dieron de alta a 144 recuperados via @@diariodelujan https://t.co/0hNglu6LgA https://t.co/XfoiTYtTNI\""""",coronavirus dar alta recuperado,happy
44,"""\""4 mil millones de euros!!!!!!!! https://t.co/3e9nSDoE6C\""""",mil millón euros,not-relevant
45,por favor ayuda,favor ayuda,sad
46,nuestro jefe ordena al Gobierno en el poder de tomar medidas severas con respecto al sobreprecio cobrado por los hospitales privados para los pacientes de corona en medio de una pandemia Incluso afirma que el Gobierno ha fracasado por completo en la implementación de medidas de precaución para manejar esta pandemia pic Twitter com / sdvtpjghn6,jefe ordenar gobierno poder tomar medida severo respecto sobreprecio cobrado hospital privado paciente corona medio pandemia incluso afirmar gobierno haber fracasar completo implementación medida precaución manejar pandemia,sad
47,"sé gobierno está tratando de conseguir la espalda economía en la pista y minimizar la pérdida d, pero eso no quiere decir que usted da instrucciones para reanudar las reservas de tren y del vuelo LockDown debe aumentar para salvaguardar la vida de las personas la vida viene antes que el dinero",saber gobierno tratar conseguir espalda economía pista minimizar pérdida d no querer decir usted dar instrucción reanudar reserva tren vuelo deber aumentar salvaguardar vida persona vida venir dinero,sad
48,coronavirus respuesta de Italia es una advertencia del futuro del atlántico,coronavirus respuesta ser advertencia futuro atlántico,fear
49,"""\""CORONAVIRUS EMBOLIAS - Enfermos de covid que necesitan ventilación tienen más riesgo de sufrir una embolia pulmonar https://t.co/rKtdbaEgTW #Ciencia\""""",coronavirus embolia enfermo covid necesitar ventilación tener riesgo sufrir embolia pulmonar ciencia,sad
50,"""\""#RT @BAERVenezuela: #EnAlerta | ¡LA CLAVE ES LA PREVENCIÓN! @BAERVenezuela y la #GMTV cumple las recomendaciones del Gobierno Bolivariano y la OMS @WHO ¡Extendemos el llamado al pueblo venezolano a mantenerse en atención permanente! Cara con máscara médi… https://t.co/Jv5eW8coD3\""""",clave ser prevención cumplir recomendación gobierno bolivariano extender llamado pueblo venezolano mantener atención permanente cara máscara,not-relevant
51,los cuerpos están presentes mientras que los espíritus están muertos __19,cuerpo presente mientras espíritu muerto,fear
52,"""\""La pandemia de coronavirus deja cerca de 290.000 casos y 7.000 muertos en el mundo durante el último día https://t.co/O4dv4A9TxD\""""",pandemia coronavirus dejar cerca caso muerto mundo último día,sad
53,"""\""Plataforma Patria inició asignación del \\\""Bono Protectores de la Salud y Cuarentena Radical\\\"" https://t.co/vsrCWm9PwY\""""",plataforma patria iniciar asignación bono protector salud cuarentena radical,not-relevant
54,"""\""¿Cuáles son las secuelas más comunes que puede dejar el covid-19? https://t.co/4RXKOBL2Xb\""""",cuál ser secuela común poder dejar covid,not-relevant
55,la grandeza de indio y es incluso partidarios del partido no se ven de apoyo para algunos días después de la última Kejriwal realizó un mayores errores en los tiempos de prueba del país de nación está por encima de la política para todos nosotros,grandeza indio ser incluso partidario partido no ver apoyo alguno día después último realizar mayor error tiempo prueba país nación encima política,sad
56,gran trabajo señor Honble muy apreciada thumbs_up thumbs_up _19,gran trabajo señor mucho apreciado,happy
57,se encontró con esta maravillosa pieza de la escritura lúcida descrito muy bien en comparación / ujox2tvkxh,encontrar maravilloso pieza escritura lúcido descrito mucho bien comparación,happy
58,"""niños refugiados"" más como una barba 30 años de edad migrantes económicos y cuántos de ellos podrían ser infectados con el virus de la corona no gracias tengo suficientes problemas en Europa ya",niño refugiado barba año edad migrant económico cuánto poder ser infectar virus corona no gracias tener suficiente problema,fear
59,favor quemar corona personas muertas infectadas en creeamatorium eléctrica,favor quemar corona persona muerto infectado eléctrico,sad
60,recuerda mis palabras de este tipo está escuelas mantenimiento de imbéciles peligroso abrir la ayuda puede restringir la propagación del coronavirus NSW departamento de educación dice a través,recordar palabra tipo escuela mantenimiento imbécil peligroso abrir ayuda poder restringir propagación coronavirus departamento educación decir través,angry
61,"""\""Obvio, en un pseudoestado xenófobo, lacayo imperialista y donde se practica un apartheid brutal. https://t.co/RlwgTXgo7o\""""",obvio lacayo imperialista practicar apartheid brutal,angry
62,"""\""Las emociones son nuestra respuesta adaptativa a los cambios. ¿Cómo estamos respondiendo emocionalmente a la Pandemia? Le preguntamos a la psicóloga experta en Salud Emocional https://t.co/G4BdZvbA6V #incertidumbre\""""",emoción ser respuesta adaptativo cambio cómo responder emocionalmente pandemia preguntar psicóloga experto salud emocional incertidumbre,not-relevant
63,"""\""Seguimos.... Vacunación ELEPEM.\\n2da dosis!!! \\n\\n💪💪💪 Gran jornada ayer y hoy. https://t.co/oK3VoI51P5\""""",seguir vacunación dar dosis gran jornada ayer hoy,happy
64,cuando los ascensores de encierro * y se inicia la lectura de contadores,ascensor encierro iniciar lectura contador,happy
65,"""\""Investigadores @vallhebron @VHIR_ han demostrado, en un estudio limitado, q la #cefalea es un síntoma de buen pronóstico en la #Covid19\\nEl virus actuaría como en la #migraña, inflamando el nervio trigénimo, pero el \\\""daño\\\"" se quedaría ahí\\nEn @SaberVivir_Tv \\nhttps://t.co/qwQTG0LdYL https://t.co/LUtdRimwmt\""""",investigador haber demostrar estudio limitado cefalea ser síntoma buen pronóstico covid virus actuar migraña inflamar nervio daño quedar ahí nen,not-relevant
66,"""\""Guanipa: Levantemos la voz para que ingresen las vacunas y que no se politice su distribución https://t.co/ISEcuu6Fxu a través de @el_carabobeno\""""",levantar voz ingresar vacuna no politizar distribución través,angry
67,va a decir a mis hijos zumbido de corona pandemia me BHI examen dene jate los _spreading_corona_virus,ir decir hijo zumbido corona pandemia examen corona virus,fear
68,"""\""Jajaja, pues si!! https://t.co/CQcnblbf4K\""""",jajaja pues si,happy
69,puto coronavirus * * batidos puños,puto coronavirus batido puño,fear
70,_effect * મારા બેટા એરપોર્ટમાં થપો રમે છે ■■ jugar en grinning_face_with_big_eyes aeropuerto vacío grinning_face_with_big_eyes primera fundación,jugar aeropuerto vacío primero fundación,happy
71,"""\""Cuarta ola covid-19. La alarmante predicción del virólogo alemán de referencia: “Habrá muchos infectados en poco tiempo” ➡ Christian Drosten pronostica que serán los personas más jóvenes las que más sufrirán el impacto.\""""",cuarto ola covid alarmante predicción alemán referencia mucho infectado poco pronosticar ser persona joven sufrir impacto,sad
72,"""\""Monday me hizo reflexionar de lo triste que es mi vida, no voy a fiestas, no salgo ni siquiera sin cuarentena, no tengo a mi lado a Sebastian Stan...life is so unfair\""""",hacer reflexionar triste ser vida no ir fiesta no salir siquiera cuarentena no tener lado is so,sad
73,gruñón o tonto que gana la noche por asustar a la mierda de la gente mayor,gruñón tonto ganar noche asustar mierda gente mayor,angry
74,el presidente de México se burla de la pandemia de coronavirus ayuda que necesitamos que se trata de noticias internacionales,presidente burlar pandemia coronavirus ayuda necesitar tratar noticia internacional,angry
75,gran obra de Salman Khan mantener ayudar a nuestros preocupan corona ...,gran obra salman mantener ayudar preocupar corona,happy
76,oportunidades en el orden mundial covid post ...,oportunidad orden mundial covid,happy
77,"""\""acá ya no mata el covid, mata el propio estado\\n\\n#SOSColombia\""""",acá no matar covid matar propio,angry
78,Estimado señor personas quienes son sospechosos o cuarentena del coronavirus les dan la medicina homeopática álbum arsénico no hay ningún daño o efecto secundario que había trabajado en 1918 epidemia de gripe española varias veces funcionó que es muy rentable también,estimado señor persona ser sospechoso cuarentena coronavirus dar medicina álbum arsénico no haber ninguno daño efecto secundario haber trabajar epidemia gripe español varios vez funcionar ser mucho rentable,sad
79,"""\""Mota del Cuervo pone a disposición de la Junta instalaciones municipales para la vacunación contra el COVID-19 - 16/02/2021 Región | Diario La Comarca de Puertollano https://t.co/m2OQetkCk5\""""",mota cuervo poner disposición junta instalación municipal vacunación covid región diario comarca,happy
80,cuando su éxodo es el desempleo el hambre de los migrantes y la lucha que por qué demonios quieres nosotros para ver thinking_face es este temor a ser detenidos al llegar a ur puertas,éxodo ser desempleo hambre migrant lucha demonio quieres ver ser temor ser detener llegar puerta,fear
81,"""\""Felicidades y gracias por su labor a todos los Diplomados en Enfermería, en su Día Mundial.\\nAhora en pandemia y siempre, GRACIAS INFINITAS.‼️\\nFeliz #DiaInternacionalDeLaEnfermeria #DiaInternacionalDeLaEnfermera \\nY en especial gracias a mi @amparosoti\\n\\n TQM #DiadelaEnfermeria https://t.co/Tu4okKiUg6\""""",felicidad gracia labor diplomado enfermería día mundial pandemia siempre gracia infinito especial gracia,happy
82,"""\""#Fisioterapia #Rehabilitación: Primera línea durante la pandemia para pacientes COVID... #fisiocovid #sanitarios #sanidad #coronsvirus #UCI #fisiorespiratoria https://t.co/kkfKZOJdZB\""""",fisioterapia rehabilitación primero línea pandemia paciente covid sanitario sanidad,not-relevant
83,actualizado covid 19 se refiere a que afectan a la industria de la imagen - la sociedad píxeles muertos,actualizado covid referir afectar industria imagen sociedad píxel muerto,fear
84,"""\""#RT @ACN_Cuba: 📉🦠Con una tendencia a la disminución de casos de COVID- 19, luego de 2 meses de elevados índices de infección de la enfermedad, #Guantánamo muestra un descenso de la tasa de incidencia, lo cual la sitúa en el camino del control de la pandemia …\""""",tendencia disminución caso covid luego mes elevado índice infección enfermedad mostrar descenso tasa incidencia sitúar camino control pandemia,happy
85,8/10 Roze completa ibadat me jayingey red_heart abeto wo ich nafsi'yati beemari compras kapde haleem unamused_face bloqueo extendido hasta el 7 pueden completar los detalles de kcr cm rueda de prensa de hoy - al Park Hotel Continental,completo red abeto compras bloqueo extendido poder completar detalle cm rueda prensa hoy hotel continental,happy
86,Taiwán tiene sólo 47 casos su respuesta a los espectáculos de crisis que una acción rápida y generalizada de la salud se pueden prevenir a través de un brote,tener sólo caso respuesta espectáculo crisis acción rápido generalizado salud poder prevenir través brote,fear
87,"""\""Triste https://t.co/lqZkeKCsye\""""",triste,sad
88,coronavirus y ansiedades de salud mental pico medio de aislamiento punto de mira san José área de la bahía de vía,coronavirus ansiedad salud mental pico medio aislamiento punto mira san área bahía vía,fear
89,"se le dijo hoy que había poco de qué preocuparse en el centro de llamadas, porque sólo ha habido un pequeño número de casos de coronavirus en nuestra área um bien sí",decir hoy haber poco preocupar centro llamada sólo haber haber pequeño número caso coronavirus área bien,fear
90,"Gobierno de Israel debería tomar la decisión de todos los niños en edad escolar a renunciado en las tarifas escolares de 04-junio 2020, debido a covid 19 para evitar la carga financiera en esta fase crítica de tiempo y el apoyo moral que existe a nivel nacional bloqueo hacia abajo y la escuela permanece cerrada",gobierno deber tomar decisión niño edad escolar renunciar tarifa escolar junio debido covid evitar carga financiero fase crítico tiempo apoyo moral existir nivel nacional bloqueo hacia abajo escuela permanecer cerrado,sad
91,todos estos atletas en forma estupenda que dieron positivo a mí y aquí es simplemente tumbados sobre la grasa como mierda gravemente incapacitado asmática lleno de ansiedad no cree en frutas o verduras y tomar un medicamento bebedor empedernido ¿qué posibilidades tengo yo venga a mí,atleta forma estupendo dar positivo aquí ser simplemente tumbar grasa mierda gravemente incapacitado asmático lleno ansiedad no creer fruta verdura tomar medicamento bebedor empedernido posibilidad tener venir,fear
92,"""\""Por que siguen permitiendo llevar las mascarillas de rejilla????? Parecen bolsitas de sacos de patatas\""""",seguir permitir llevar mascarilla rejilla parecer saco patata,angry
93,"""\""#SoyRebelde Porque no quiero que cierren las escuelas, porque quiero que le enseñen a mi hija, porque hacen un velorio con miles y miles de personas pero cierran los colegios, hacen sus marchar pero cierran los colegios, hacen la ley del aborto en plena pandemia, PERO CIERRAN.\""""",no querer cerrar escuela querer enseñar hija hacer velorio mil mil persona cerrar colegio hacer marchar cerrar colegio hacer ley aborto pleno pandemia cerrar,angry
94,"""\""Ni China ni EEUU ni Rusia, el #COVID19 vino junto a #NEOWISE.  Este es un ejemplo del sida, y es escalable a cualquier epidemia/pandemia #ESp #CierrESpCCAA @RevillaMiguelA que las vacunas corran como el vino #3marzo #3MarzoESp https://t.co/SjKqFNSK7b\""""",china covid vino junto ser ejemplo sida ser escalable cualquiera epidemia pandemia vacuna correr vino marzo,angry
95,hilo importante “con una tasa de letalidad de la única manera segura de conseguir la inmunidad de grupo es a través de la vacunación es por eso que es tan importante para el desarrollo de vacunas eficaces tratando de lograr la inmunidad de grupo a través de la infección natural será poner a millones de vidas en peligro”,hilo importante tasa único manera seguro conseguir inmunidad grupo ser través vacunación ser ser importante desarrollo vacuna eficaz tratar lograr inmunidad grupo través infección natural ser poner millón vida,fear
96,"""\""Presidente @buenavistafco y alcaldesa Pozuelo de  Zarzón, Sheila Martín, dos de los 68 regidores del país que nacieron en 1981, año de constitución de @fempcomunica hablan en #cartalocal: vocación de servicio ➕ futuro post pandemia.\\n👓LEER (págs36-39)  https://t.co/6B8OtyZJEr https://t.co/OYrD8EgSpE\""""",presidente alcaldesa pozuelo martín dos regidor país nacer año constitución hablar vocación servicio futuro pandemia leer pág,not-relevant
97,"""\""Partido Colorado y Cabildo Abierto piden más medidas para enfrentar la pandemia -  https://t.co/y8dbdvUbEk  #VigiaDigital_Uy\""""",partido colorado cabildo abierto pedir medida enfrentar pandemia uy,not-relevant
98,racismo y la xenofobia no van a ayudarnos a detener y decir que es un “virus chino” no distraer la atención de los estadounidenses lo mal que está manejando este presidente una pandemia en curso de twitter com / xgbj3pzz14,racismo xenofobia no ir ayudar detener decir ser no distraer atención estadounidense mal manejar presidente pandemia curso,angry
99,* * * Una muerte más covid informó desde Cachemira a un paciente de Shopian falleció en el hospital de Srinagar hoy j & k número 29,muerte covid informar cachemira paciente fallecer hospital hoy número,sad
100,Es este humor la gente va a morir de la corona virus usted es un senador de un supuesto líder de lo que está mal con usted,ser humor gente ir morir corona virus usted ser senador supuesto líder mal usted,angry
101,"""\""Nos devolverán lo que han provocado ellos mismos. #GobiernoDimision #SistemaIneficiente https://t.co/jhB97W4EYT\""""",devolver haber provocar mismo,angry
102,"""\""¿Alguien me puede explicar por qué en este año del gobierno más progresista de la historia, no se ha derogado la ley mordaza, el delito de injurias a la corona, las ofensas a sentimientos religiosos etc...?\\n\\nEs que voy a empezar a pensar que es porque no os sale de los huevos.\""""",alguien poder explicar año gobierno progresista historia no haber derogar ley mordazo delito injuria corona ofensa sentimiento religioso etc ir empezar pensar ser no salir huevo,angry
103,"No estaba muy nervioso acerca de antes de ayer, pero estos 2 últimos días me han cambiado con el hecho de que dicho lavado de mantener las manos y quedarse en casa si está enfermo con la esperanza de estancias a todos seguros",no mucho nervioso acerca ayer último día haber cambiar hecho dicho lavado mantener mano quedar casa si enfermo esperanza estancia seguro,fear
104,"coronavirus hizo que no es el potus, pero luego de ser un triunfo demócrata odiando atados con las cadenas de noticias peores que sólo podemos esperar que BS de alguien como lo que es una cintura de la educación trump2020",coronavirus hacer no ser luego ser triunfo demócrata odiar atado cadena noticia peor sólo poder esperar bs alguien ser cintura educación,angry
105,Qismat canción cantante kktomar canal de YT ... a ver ir y suscribe en el tema de adelanto dará a conocer después de bloqueo de twitter com / 0ti3a2vpbo,canción cantante canal ver ir suscribir tema adelanto dar conocer después bloqueo,happy
106,el virus estaba gritando noooo nunca se sintió me sentiría lástima por el coronavirus,virus gritar no nunca sentir sentir lástima coronavirus,fear
107,2400 muertes Corona Si los miembros de su familia ...,muerte corona si miembro familia,sad
108,impone Grecia LockDown después de las infecciones por coronavirus saltan pic Twitter com / rah1vc2ycv,imponer después infección coronavirus saltar,fear
109,"""\""A mí no me han preguntado 🤚🏽 https://t.co/r2u8nErK3j\""""",no haber preguntar,not-relevant
110,tendremos bien pronto ganamos esta guerra contra covid19,tener bien pronto ganar guerra covid,happy
111,sin que eso es lo que está hablando por alguna razón el tema de esta conversación está retrasando las primarias debido al brote de coronavirus están ignorando la pandemia muy irresponsable,ser hablar alguno razón tema conversación retrasar primaria debido brote coronavirus ignorar pandemia mucho irresponsable,angry
112,"""\""El sabado unos nazis ensalzaron al nazismo y el holocausto. Pablo Hasel entra en la carcel por injurias a la corona en pleno sigloXXI #LlibertatPabloHasél\""""",nazi ensalzar nazismo holocausto entrar injuria corona pleno,angry
113,Si se siente hambre y quiere hacer algunas comida para llevar comida durante este fin _19 temporada de ellas de evitar que su 'gerai de locales en todo malsana,si sentir hambre querer hacer alguno comida llevar comida fin temporada evitar local malsano,sad
114,gran señor análisis de coronavirus y la venida del Mesías,gran señor análisis coronavirus venida mesías,happy
115,100 cosas que aprendí del Dr. Rakesh Goyal bloqueo a través de ...,cosa aprender bloqueo través,happy
116,espero que este hombre blanco calvo consigue virus de la corona para conseguir en la sauna desnudos sucia pista poco cogida,esperar hombre blanco calvo conseguir virus corona conseguir sauna desnudo sucio pista poco cogido,angry
117,"""\""Nuestra Biblioteca Virtual ha actualizado los contenidos de su Guía de Enfermería. Con un diseño sencillo y atractivo, se ha incluido un apartado específico sobre #Covid-19\\n#Enfermería #recursos #investigación @bvsspa \\n\\nhttps://t.co/ELRJuGkY1W\""""",biblioteca virtual haber actualizar contenido guía enfermería diseño sencillo atractivo haber incluir apartado específico covid enfermería recurso investigación,happy
118,"""Puestos de control están montados en las salidas de las ciudades y en las zonas costeras hoy como las fuerzas de la ley y el intento de fin de comprobar la validez adelantarse [la gente de] salir a [sus] segundos hogares para escapar de la propagación del coronavirus en las ciudades""",puesto control montado salida ciudad zona costero hoy fuerza ley intento fin comprobar validez adelantar gente salir segundo hogar escapar propagación coronavirus ciudad,fear
119,"""\""@pnique @PabloIglesias Pero las mascarillas siguen al 21% . Sigan arruinando al obrero !!!! #GobiernoDeLaMentira\""""",mascarilla seguir seguir arruinar obrero,angry
